﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3xNZP70uRdHJK3lZJ8OfJr","Sundown","Arbour, Aarigod","Sundown","1","1","168740","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:4gwxX3tnVF1dIcD8CC1aen","Into The Wind","Blue Wednesday, Magnus Klausen","The Great Escape","1","1","161977","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:02MuiqcigT2BXA1hE86lZM","Ocean Patio","Philanthrope, Dayle","Ocean Patio","1","1","149647","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:6BwCkzxd3h6eA5xqOUZzUY","Leaves covered by snow","No Spirit","Chillhop Essentials Winter 2019","1","1","184000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:3zBW8HNLcaWxq4eb4UcmDr","Bewildered","Hanz","Leaving For Good","1","1","155887","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:4CLzOxY11qwZRUSl3U2mPy","Pale Ale","Brock Berrigan, goosetaf, Kyle McEvoy","Chillhop Essentials Fall 2019","1","17","128000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:5nKSxq2yNgQLtgzqJxPn41","i wish it would never stop snowing","Sleepy Fish","Chillhop Essentials Spring 2019","1","24","196500","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:3w1lXjck7zcQaacezavnJw","Protected","Swørn","Escapade","1","2","79710","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:18AWTh6fYSU99rWhxsENwa","Searching","Philanthrope, Misha, cocabona, Monma, Louk","Aura","1","1","202985","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:1PLPABjQPXvy0YFzopCD4r","Morning Walk","chief.","Chillhop Daydreams 2","1","6","146374","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:4u8JJlRQ4WF6XLH5geEiyL","Second Wind","L'Indécis","Second Wind","1","2","180000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:4n6JQTNqJOuvQLys4l11ov","Hope","Ajmw, Arbour","Eternal","1","5","130909","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:45Pzdn2ECADA8A0KXm2wdP","Mother Nature","Blue Wednesday, Yasper","The Great Escape","1","4","208988","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
